movieCd,movieNm,openDt,genre,nation,first_scrn,first_show,first_date,peak,first_week_audi,total_audi,days_in_top10
20247690,시스터,20260128,스릴러,한국,4,5,20260112,1,57270,69076,10
20250644,직장상사 길들이기,20260128,스릴러,미국,654,1547,20260128,1,61877,63443,7
20250686,하우스메이드,20260128,스릴러|미스터리,미국,533,915,20260128,1,53095,67329,10
20258885,프라이메이트,20260128,공포(호러)|스릴러,미국,502,911,20260128,1,23060,34694,5
20250112,극장판 총집편 걸즈 밴드 크라이 청춘광주곡,20260128,애니메이션,일본,130,245,20260128,1,5344,14097,2
20250563,정글비트 2,20260129,애니메이션,영국,309,353,20260201,1,4359,12813,1
20242837,왕과 사는 남자,20260204,사극|드라마,한국,29,29,20260127,0,1171238,16916280,117
20261439,"2024.12.03 그날 조작된 내란, 감춰진 진실",20260204,다큐멘터리,한국,145,229,20260204,0,138998,207669,18
20250878,노 머시: 90분,20260204,스릴러,미국,538,1413,20260204,0,65791,98458,15
20261526,아이엠스타!X프리파라 더 무비 -만남의 기적!-,20260204,애니메이션,일본,118,160,20260204,0,14489,75777,11
20261041,스트레이 키즈 : 더 도미네이트 익스피리언스,20260204,공연,미국,103,184,20260204,0,7990,16881,3
20250604,극장판 엉덩이 탐정: 스타 앤드 문,20260207,애니메이션,일본,247,492,20260207,0,20150,46280,6
20252373,넘버원,20260211,드라마,한국,17,17,20260203,0,152546,278409,25
20241266,휴민트,20260211,액션|드라마,한국,16,17,20260204,0,1094809,1979498,38
20257823,폭풍의 언덕,20260211,드라마|멜로/로맨스,미국,428,816,20260211,0,42772,57770,9
20250840,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지생물 구조작전,20260212,애니메이션|액션|어드벤처,영국,141,169,20260212,0,16307,21127,5
20261208,귀신 부르는 앱: 영,20260218,공포(호러)|스릴러,한국,176,357,20260218,0,68847,91031,13
20261150,점보,20260218,애니메이션,인도네시아,355,453,20260218,0,41115,45106,6
20250428,센티멘탈 밸류,20260218,드라마,노르웨이,188,221,20260219,0,17587,61616,15
20250301,판결,20260225,드라마|스릴러,한국,7,7,20260223,0,1259,4001,1
20261181,너자 2,20260225,애니메이션,중국,9,9,20260223,0,41579,59179,14
20259583,초속 5센티미터,20260225,드라마|멜로/로맨스,일본,568,1257,20260225,0,70220,87040,13
20250365,햄넷,20260225,드라마,미국,381,495,20260225,0,27181,56231,16
20261450,슬라이드 스트럼 뮤트,20260226,드라마|미스터리,한국,117,126,20260226,0,7889,9942,2
20257744,28년 후: 뼈의 사원,20260227,공포(호러)|스릴러,미국,467,807,20260227,0,28983,29175,5
20261621,엔하이픈 [워크 더 라인 썸머 에디션] 인 시네마,20260227,공연,한국,61,117,20260227,0,2897,2897,1
20241501,매드 댄스 오피스,20260304,드라마|코미디,한국,7,8,20260224,0,31907,45429,14
20256283,호퍼스,20260304,애니메이션,미국,536,1172,20260301,0,335960,754046,39
20258444,브라이드!,20260304,액션|멜로/로맨스|드라마,미국,399,676,20260304,0,22187,22455,7
20250875,우리는 매일매일,20260304,멜로/로맨스,한국,142,168,20260304,0,7986,11794,4
20250413,다이 마이 러브,20260304,드라마|스릴러,미국,115,212,20260304,0,3683,3683,2
20261694,투어스 브이알 콘서트 : 러쉬로드,20260304,드라마|공연,한국,1,8,20260309,0,1165,34104,6
20249843,우리에게는 아직 내일이 있다,20260304,드라마,이탈리아,84,104,20260310,0,1183,9319,1
20258074,아르코,20260311,애니메이션,프랑스,8,8,20260303,0,6012,15533,4
20232662,삼악도,20260311,미스터리|공포(호러),한국,225,819,20260311,0,64868,92271,16
20261927,스페셜즈,20260313,코미디|액션,일본,38,46,20260315,0,2032,3673,1
20241575,메소드연기,20260318,드라마|코미디,한국,6,7,20260313,0,48165,59984,12
20261782,프로젝트 헤일메리,20260318,SF,미국,1331,4086,20260318,0,642028,2896778,72
20261804,폭탄,20260318,스릴러,일본,175,312,20260318,0,19013,23192,8
20261437,녹나무의 파수꾼,20260318,애니메이션,일본,305,469,20260318,0,8133,8133,6
20257521,프로텍터,20260325,액션,한국,413,595,20260325,0,22571,22785,7
19868242,연지구 디 오리지널 4K,20260325,판타지|멜로/로맨스,홍콩,130,175,20260325,0,2777,8624,3
20262291,뮤지컬 장수탕 선녀님,20260326,뮤지컬|공연,한국,134,197,20260328,0,5649,7932,2
20261906,명탐정 코난: 세기말의 마술사,20260327,애니메이션,일본,13,15,20260321,0,63925,92744,17
20262179,펫 트레인,20260328,애니메이션,프랑스,182,324,20260328,0,11559,18567,4
20261666,네가 마지막으로 남긴 노래,20260401,멜로/로맨스,일본,560,1408,20260401,0,60284,78787,14
20262101,킬 빌: 더 홀 블러디 어페어,20260401,액션,미국,88,119,20260401,0,9261,13170,5
20259598,두 검사,20260401,기타,프랑스|독일|네덜란드,46,52,20260407,0,941,10800,2
20192680,끝장수사,20260402,범죄|액션,한국,648,1563,20260402,0,72247,85189,12
20262463,오피셜히게단디즘 라이브 앳 스타디움 2025,20260402,공연,일본,58,84,20260402,0,4619,4619,2
20254121,살목지,20260408,공포(호러)|스릴러,한국,13,15,20260324,0,861294,3232828,55
20261622,위 리브 인 타임,20260408,멜로/로맨스|드라마,프랑스,220,437,20260408,0,22181,28430,10
20262343,크라임 101,20260408,범죄|드라마|스릴러,미국,208,436,20260408,0,17234,17746,7
20262648,런닝맨: 라이트&쉐도우,20260411,애니메이션,한국,196,345,20260411,0,12552,13055,2
20247648,내 이름은,20260415,드라마,한국,4,5,20260402,0,114214,206709,30
