날짜,식사,메뉴
20260430,석식,백미밥|사골국|낙지야채볶음|떡꼬치소스|배추김치|방울토마토
20260430,중식,스팸마요덮밥|고명장국|매콤콩나물무침|떡볶이|명엽채볶음|깍두기|요구르트
20260504,석식,햄김치볶음밥|팽이장국|참나물사과무침|생선까스콘소스|배식용김|깍두기|딸기우유
20260504,중식,칼슘강화기장밥|초코케이크|참치미역국|돈사태떡찜|오징어숙회초장|애호박볶음|배추김치
20260506,석식,파송송달걀국|양파무침|돈육마파두부덮밥|왕새우또띠아|깍두기|귤주스
20260506,중식,친환경현미밥|육개장|달걀장조림|올방개묵김치무침|가자미순살튀김|소떡소떡|석박지
20260507,석식,백미밥|돈육고추장찌개|진미채야채무침|돈육간장불고기|야채달걀말이|배추김치|청포도
20260507,중식,친환경잡곡밥|맑은순두부국|숙주나물무침|치즈불닭|회오리감자|배추김치|요구르트
20260508,중식,친환경보리밥|얼갈이된장국|파채무침|삼겹살야채구이|배추김치|초코맛아이스크림|상추쌈장
20260511,석식,백미밥|근대된장국|매운돈육떡찜|오이생채|두부구이양념장|배추김치|스위티자몽주스
20260511,중식,칼슘강화기장밥|오징어무국|찜닭(당면)|미역줄기볶음|어묵바케찹|배추김치|슈크림츄스틱
20260512,석식,백미밥|사골국|골뱅이야채무침|고기지짐|석박지|과일맛아이스크림|양념장
20260512,중식,콩나물밥/양념장|두부된장국|삼치감자조림|비건김치만두|배추김치|초코우유
20260513,석식,김치덮밥|소시지토스트|들깨무채국|스크램블드에그|깍두기|초코과자|양배추샐러드사우전D
20260513,중식,달걀볶음밥|김치국|두부조림|코울슬로|탕수육후르츠소스|깍두기|조각파인애플
20260514,석식,백미밥|햄찌개|삼치감자조림|마늘쫑무침|볼어묵볶음|깍두기|딸기쨈파이
20260514,중식,친환경현미밥|시금치된장국|깻잎지|돈육김치볶음|오꼬노미야끼|깍두기|유자에이드
20260515,중식,추가밥|미니한우쌀국수|베리케이크|청경채두반장소스|짜조칠리파디소스|배추김치|토마토카프레제
20260518,석식,추가밥|미트볼스파게티|크림스프|마늘빵|요구르트|양배추샐러드(키위D)|오이피클
20260518,중식,친환경칼슘기장밥|얼큰콩나물국|부추무침|훈제오리야채머스터드|배추김치|슈크림만쥬|무쌈
20260519,석식,치킨마요덮밥|고명장국|매운어묵꼬치(소스)|배추김치|달콤한토마토
20260519,중식,친환경흑미밥|참치김치찌개|브로콜리무침|스크램블드에그|치즈핫도그케찹|훈제연어양파소스|총각김치
20260520,석식,추가밥|비빔국수|꽈리고추메추리알조림|오징어부추전|깍두기|자두맛음료
20260520,중식,친환경잡곡밥|다시마감자국|얼갈이된장무침|치즈떡닭갈비|메추리알카레조림|배추김치|삼색과일망고드레싱
20260521,석식,백미밥|돈육감자탕|콩나물무침|소시지케찹볶음|삼치카레구이|석박지|황치즈파이
20260521,중식,친환경현미밥|우렁된장찌개|수육|무말랭이장아찌|오징어김치전|보쌈김치|오렌지
20260522,중식,참치마요구운주먹밥|고명유부국|국수떡볶이|야채햄튀김|깍두기|청사과청귤에이드|양배추샐러드사우전D
20260526,석식,백미밥|북어국|두부쑥갓나물|닭볶음탕|김말이강정|배추김치|조각파인애플
