common_name,class,order,adult_weight_g,max_longevity_yrs,metabolic_rate_w,body_mass_g,female_maturity_days,gestation_days,litter_size,body_temp_k
Spectacled hare-wallaby,Mammalia,Diprotodontia,3000.0,8.8,4.749,2660.0,363.0,30.0,1.0,309.15
Rufous hare-wallaby,Mammalia,Diprotodontia,1310.0,13.2,,,330.0,,1.0,
Banded hare-wallaby,Mammalia,Diprotodontia,2100.0,,,,365.0,,1.0,
Agile wallaby,Mammalia,Diprotodontia,16000.0,16.9,,,365.0,29.0,1.0,
Antilopine wallaroo,Mammalia,Diprotodontia,49500.0,19.8,,,802.0,34.0,1.0,
Black wallaroo,Mammalia,Diprotodontia,17500.0,11.8,,,,34.0,1.0,
Black-striped wallaby,Mammalia,Diprotodontia,11250.0,,,,426.0,34.0,1.0,
Tammar wallaby,Mammalia,Diprotodontia,6500.0,15.1,7.78,4796.0,274.0,28.0,1.0,309.65
Western gray kangaroo,Mammalia,Diprotodontia,28250.0,23.2,,,670.0,30.0,1.0,309.65
Eastern gray kangaroo,Mammalia,Diprotodontia,49500.0,25.0,,,639.0,36.0,1.0,309.45
Parma wallaby,Mammalia,Diprotodontia,4250.0,15.9,,,424.0,34.0,1.0,
Whiptail wallaby,Mammalia,Diprotodontia,16500.0,,,,745.0,36.0,1.0,
Wallaroo,Mammalia,Diprotodontia,30000.0,22.0,33.056,29647.9,547.0,32.0,1.0,309.25
Red-necked wallaby,Mammalia,Diprotodontia,16200.0,15.2,,,395.0,29.0,1.0,
Red kangaroo,Mammalia,Diprotodontia,55000.0,25.0,31.353,28500.0,517.0,33.0,1.0,309.05
"Bridled nail-tail wallaby, or Ridled nail-tailed wallaby",Mammalia,Diprotodontia,5500.0,7.4,,,185.0,23.0,1.0,
Northern nail-tailed wallaby,Mammalia,Diprotodontia,5800.0,5.5,,,,,1.0,
Allied rock wallaby,Mammalia,Diprotodontia,4300.0,,,,525.0,31.0,1.0,
"Short-eared rock-wallaby, or Western rock wallaby",Mammalia,Diprotodontia,3700.0,10.1,,,540.0,30.0,1.0,
Nabarlek,Mammalia,Diprotodontia,1250.0,11.7,,,430.0,30.0,1.0,
Black-footed rock wallaby,Mammalia,Diprotodontia,4200.0,,,,540.0,30.0,1.0,
Brush-tailed rock wallaby,Mammalia,Diprotodontia,6000.0,14.3,,,540.0,30.0,1.0,
Ringtailed rock wallaby,Mammalia,Diprotodontia,6000.0,14.4,,,541.0,31.0,1.1,
Quokka,Mammalia,Diprotodontia,3500.0,13.8,4.695,2702.3,252.0,26.0,1.0,
Tasmanian pademelon,Mammalia,Diprotodontia,5000.0,8.8,,,435.0,29.0,1.0,
Dusky pademelon,Mammalia,Diprotodontia,4796.0,9.4,,,344.0,30.0,1.0,
Red-legged pademelon,Mammalia,Diprotodontia,4100.0,9.7,,,338.0,29.0,1.0,
Red-necked pademelon,Mammalia,Diprotodontia,3800.0,9.0,,,555.0,,1.0,
Swamp wallaby,Mammalia,Diprotodontia,14625.0,16.8,,,426.0,36.0,1.0,
Striped possum,Mammalia,Diprotodontia,318.0,9.6,,,,,1.5,
Leadbeater's possum,Mammalia,Diprotodontia,127.0,14.1,0.574,166.0,475.0,16.0,1.5,308.15
Yellow-bellied glider,Mammalia,Diprotodontia,572.5,15.0,,,725.0,,1.0,
Sugar glider,Mammalia,Diprotodontia,110.0,17.8,0.517,129.3,236.0,16.0,2.0,309.05
Squirrel glider,Mammalia,Diprotodontia,405.0,14.8,,,,20.0,1.5,
"Sulawesi bear cuscus, or Bear cuscus",Mammalia,Diprotodontia,7000.0,,,,,,,
Ground cuscus,Mammalia,Diprotodontia,2400.0,18.9,,,,13.0,1.0,309.55
Gray cuscus,Mammalia,Diprotodontia,2500.0,,,,,13.0,2.0,
"Common spotted cuscus, or Spotted cuscus",Mammalia,Diprotodontia,3500.0,17.0,6.27,4250.0,222.0,13.0,2.0,307.85
Northern brush-tailed possum,Mammalia,Diprotodontia,1300.0,,,,365.0,17.0,1.0,
Mountain brush-tailed possum,Mammalia,Diprotodontia,3150.0,,,,900.0,16.0,1.0,
Brush-tailed possum,Mammalia,Diprotodontia,2395.0,15.9,3.8,1993.5,315.0,17.0,1.0,309.15
Scaly-tailed possum,Mammalia,Diprotodontia,1700.0,,,,730.0,,1.0,
Koala,Mammalia,Diprotodontia,9300.0,22.1,5.744,4732.4,646.0,31.0,1.0,308.95
Rufous 'rat'-kangaroo,Mammalia,Diprotodontia,3250.0,12.8,5.978,2820.0,333.0,23.0,1.0,
Tasmanian bettong,Mammalia,Diprotodontia,1725.0,,3.578,1385.0,252.0,20.0,1.0,308.75
Burrowing bettong,Mammalia,Diprotodontia,1300.0,,,,218.0,21.0,1.0,
Woylie,Mammalia,Diprotodontia,1500.0,18.8,3.132,1018.0,180.0,18.0,1.0,310.35
Northern bettong,Mammalia,Diprotodontia,1200.0,,,,301.0,20.0,1.0,
Long-footed potoroo,Mammalia,Diprotodontia,1650.0,15.3,,,755.0,38.0,1.0,
Long-nosed potoroo,Mammalia,Diprotodontia,1430.0,14.5,2.556,1045.5,400.0,30.0,1.0,309.05
Lemuroid ringtail possum,Mammalia,Diprotodontia,1040.0,5.4,,,730.0,,1.0,
Greater glider,Mammalia,Diprotodontia,1350.0,,3.191,1140.5,639.0,,1.0,308.55
"Common ringtail, or Ring-tailed possum",Mammalia,Diprotodontia,850.0,10.1,2.27,859.3,365.0,,2.0,310.55
Honey possum,Mammalia,Diprotodontia,9.0,,0.162,10.0,167.0,42.0,3.0,309.75
Northern hairy-nosed wombat,Mammalia,Diprotodontia,31000.0,30.0,,,589.0,21.0,1.0,
Southern hairy-nosed wombat,Mammalia,Diprotodontia,25500.0,29.9,16.001,27348.2,547.0,21.0,1.0,308.45
Coarse-haired wombat,Mammalia,Diprotodontia,25500.0,30.0,,,730.0,27.0,1.0,
Four-toed hedgehog,Mammalia,Erinaceomorpha,500.0,11.4,0.828,450.0,84.0,35.0,6.0,308.35
North african hedgehog,Mammalia,Erinaceomorpha,745.0,,,,,40.0,5.0,
Southern african hedgehog,Mammalia,Erinaceomorpha,309.0,,,,365.0,37.0,5.4,
Moonrat,Mammalia,Erinaceomorpha,1250.0,,2.816,721.2,,37.0,2.0,309.45
Amur hedgehog,Mammalia,Erinaceomorpha,774.475,8.0,,,266.0,36.0,,
Eastern European hedgehog,Mammalia,Erinaceomorpha,719.0,7.0,1.937,822.7,213.0,35.0,4.5,308.35
Western European hedgehog,Mammalia,Erinaceomorpha,750.0,11.7,2.434,1213.5,253.0,30.0,1.5,307.15
Long-eared hedgehog,Mammalia,Erinaceomorpha,342.0,7.6,0.845,398.5,213.0,39.0,4.0,306.95
Desert hedgehog,Mammalia,Erinaceomorpha,188.0,6.3,0.63,451.5,,37.0,3.0,307.35
Brandt's hedgehog,Mammalia,Erinaceomorpha,292.0,7.0,,,,,3.2,
"Southern tree hyrax, or Tree hyrax",Mammalia,Hyracoidea,3000.0,13.6,,,365.0,229.0,2.0,
Bush hyrax,Mammalia,Hyracoidea,2456.7,,3.872,1604.4,494.0,229.0,1.9,309.85
Rock hyrax,Mammalia,Hyracoidea,3600.0,14.8,4.954,2458.0,500.0,215.0,3.0,310.15
Pygmy rabbit,Mammalia,Lagomorpha,421.3,,2.145,432.0,256.0,27.0,6.0,
Riverine rabbit,Mammalia,Lagomorpha,1250.0,,,,,,1.0,
Snowshoe hare,Mammalia,Lagomorpha,1600.0,,6.708,1603.4,308.0,36.0,3.0,312.95
Japanese hare,Mammalia,Lagomorpha,2519.0,13.0,,,,38.0,2.1,
Black-tailed jackrabbit,Mammalia,Lagomorpha,4175.0,11.8,7.314,2300.0,243.0,44.0,1.0,312.35
Cape hare,Mammalia,Lagomorpha,2358.0,,,,228.0,43.0,2.6,
European hare,Mammalia,Lagomorpha,4175.0,10.7,,,236.0,42.0,2.0,311.45
Mountain hare,Mammalia,Lagomorpha,4175.0,18.0,8.443,3014.5,266.0,50.0,2.0,312.85
White-tailed jackrabbit,Mammalia,Lagomorpha,3035.5,,7.698,2523.2,333.0,39.0,4.3,311.35
European rabbit,Mammalia,Lagomorpha,1800.0,13.0,7.395,2167.9,730.0,30.0,5.0,312.15
Audubon's cottontail rabbit,Mammalia,Lagomorpha,900.0,7.8,2.506,686.9,164.0,29.0,3.0,311.45
Brush rabbit,Mammalia,Lagomorpha,700.0,,,,154.0,27.0,3.6,
Eastern cottontail,Mammalia,Lagomorpha,1150.0,9.8,,,123.0,30.0,5.0,
Mountain cottontail,Mammalia,Lagomorpha,760.0,7.4,,,121.0,30.0,3.6,
Marsh rabbit,Mammalia,Lagomorpha,1233.0,7.6,,,219.0,34.0,2.3,
New England cottontail,Mammalia,Lagomorpha,902.6,9.3,,,120.0,28.0,4.8,
Collared pika,Mammalia,Lagomorpha,129.0,,,,365.0,30.0,5.0,
Northern pika,Mammalia,Lagomorpha,120.0,9.4,,,203.0,28.0,3.0,
American pika,Mammalia,Lagomorpha,100.0,7.0,0.932,109.0,347.0,30.0,3.0,313.25
Steppe pika,Mammalia,Lagomorpha,262.5,,,,31.0,30.0,8.0,
Short-nosed elephant shrew,Mammalia,Macroscelidea,44.3,,0.244,45.3,,,1.8,310.65
Cape elephant shrew,Mammalia,Macroscelidea,50.0,,0.303,49.9,,,1.8,310.75
"Bushveld elephant shrew, or Long-eared elephant shrew",Mammalia,Macroscelidea,52.0,9.3,0.29,46.5,335.0,52.0,1.6,310.35
North African elephant shrew,Mammalia,Macroscelidea,48.0,7.2,0.288,49.0,,76.0,2.5,310.25
Rufous elephant shrew,Mammalia,Macroscelidea,58.0,7.9,0.317,53.0,50.0,61.0,1.0,310.45
Short-eared elephant shrew,Mammalia,Macroscelidea,40.0,8.7,0.292,39.0,44.0,65.0,1.6,309.35
Four-toed elephant shrew,Mammalia,Macroscelidea,210.0,,0.852,208.0,,,1.2,310.65
Golden-rumped elephant shrew,Mammalia,Macroscelidea,540.0,11.0,,,38.0,42.0,1.0,
Checkered elephant shrew,Mammalia,Macroscelidea,370.0,,,,,,1.9,
Monito del monte,Mammalia,Microbiotheria,24.05,,,,730.0,,3.0,308.3
Duck-billed platypus,Mammalia,Monotremata,1250.0,22.6,1.931,1030.3,548.0,17.0,2.0,307.15
Short-beaked echidna,Mammalia,Monotremata,3500.0,49.5,2.327,2909.0,548.0,22.0,1.0,303.85
"Western long-beaked echidna, or Long-nosed echidna",Mammalia,Monotremata,7500.0,41.2,6.493,11848.6,,10.0,1.0,303.95
Southern marsupial mole,Mammalia,Notoryctemorphia,53.25,,,,,,1.0,
"Common echymipera, or New Guinea spiny bandicoot",Mammalia,Peramelemorphia,650.0,,,,,13.0,2.1,308.15
Long-nosed echymipera,Mammalia,Peramelemorphia,1250.0,3.1,2.255,886.6,,,2.2,308.05
Golden bandicoot,Mammalia,Peramelemorphia,485.0,6.7,0.837,428.0,171.0,12.0,2.6,306.95
Northern brown bandicoot,Mammalia,Peramelemorphia,1600.0,6.8,3.202,1551.0,122.0,12.0,4.0,309.05
Southern brown bandicoot,Mammalia,Peramelemorphia,700.0,6.5,1.238,717.0,210.0,15.0,2.73,307.05
Western barred bandicoot,Mammalia,Peramelemorphia,226.0,5.8,,,120.0,12.0,1.8,
Eastern barred bandicoot,Mammalia,Peramelemorphia,766.0,6.1,1.902,695.0,91.0,12.0,2.0,308.35
Long-nosed bandicoot,Mammalia,Peramelemorphia,859.0,5.6,1.763,645.0,135.0,12.0,2.7,309.25
Raffray's bandicoot,Mammalia,Peramelemorphia,675.0,3.2,,,90.0,15.0,3.0,
"Rabbit-bandicoot, or Bilby",Mammalia,Peramelemorphia,1300.0,9.6,2.4,1245.5,150.0,17.0,2.0,308.15
African wild ass,Mammalia,Perissodactyla,164998.0,47.0,164.92,177500.0,708.0,359.0,1.0,
Horse,Mammalia,Perissodactyla,300000.0,57.0,,,914.0,337.0,1.0,311.45
Grevy's zebra,Mammalia,Perissodactyla,384000.0,31.0,,,1278.0,406.0,1.0,
Kulan,Mammalia,Perissodactyla,230000.0,31.6,,,1157.0,339.0,1.0,
Kiang,Mammalia,Perissodactyla,275000.0,30.1,,,1001.0,299.0,,
Quagga,Mammalia,Perissodactyla,280000.0,38.0,,,900.0,365.0,1.0,
Mountain zebra,Mammalia,Perissodactyla,296000.0,33.2,,,1009.0,362.0,1.0,
White rhinoceros,Mammalia,Perissodactyla,2175000.0,45.0,,,1643.0,515.0,1.0,
Sumatran rhinoceros,Mammalia,Perissodactyla,1260000.0,32.8,,,2738.0,236.0,1.0,
Black rhinoceros,Mammalia,Perissodactyla,1100000.0,57.0,,,1826.0,474.0,1.0,312.15
Javan rhinoceros,Mammalia,Perissodactyla,1750000.0,,,,1278.0,502.0,1.0,
Indian rhinoceros,Mammalia,Perissodactyla,1602330.0,43.5,,,1678.0,479.0,1.0,310.55
Malayan tapir,Mammalia,Perissodactyla,250000.0,36.5,,,1095.0,392.0,1.0,309.95
Baird's tapir,Mammalia,Perissodactyla,300000.0,29.6,,,710.0,401.0,1.0,
Mountain tapir,Mammalia,Perissodactyla,148950.0,28.5,,,1114.0,398.0,1.0,
Brazilian tapir,Mammalia,Perissodactyla,250000.0,39.6,,,1095.0,398.0,1.0,309.65
Indian pangolin,Mammalia,Pholidota,13014.7,,6.923,15910.0,755.0,67.0,1.0,306.55
Chinese pangolin,Mammalia,Pholidota,2350.0,,3.727,3637.5,755.0,,1.0,306.55
Maned three-toed sloth,Mammalia,Pilosa,3875.0,,,,,150.0,1.0,
Pale-throated three-toed sloth,Mammalia,Pilosa,4250.0,,,,1642.0,141.0,1.0,
Silky anteater,Mammalia,Pilosa,266.0,,0.636,240.0,,135.0,1.0,306.15
Southern two-toed sloth,Mammalia,Pilosa,6250.0,36.8,,,1279.0,279.0,1.0,
Hoffmann's two-toed sloth,Mammalia,Pilosa,6250.0,41.0,3.891,4005.2,730.0,350.0,1.0,307.55
Giant anteater,Mammalia,Pilosa,28500.0,31.0,14.543,30600.0,1186.0,184.0,1.0,305.65
Northern tamandua,Mammalia,Pilosa,4500.0,16.0,5.124,3884.2,365.0,163.0,,305.15
Southern tamandua,Mammalia,Pilosa,4500.0,19.0,5.015,3500.0,365.0,160.0,1.0,306.65
Azara's night monkey,Mammalia,Primates,1230.0,30.0,,,,,1.0,
Lemurine night monkey,Mammalia,Primates,874.0,33.8,,,755.0,135.0,1.0,
Northern night monkey,Mammalia,Primates,800.0,30.1,2.499,914.5,821.0,142.0,1.0,311.15
Noisy night monkey,Mammalia,Primates,873.0,22.1,,,,,1.0,
Black howler monkey,Mammalia,Primates,5462.5,32.4,,,1167.0,187.0,1.0,
Brown howler monkey,Mammalia,Primates,5540.0,,,,,,,
Mantled howler monkey,Mammalia,Primates,7000.0,24.0,11.464,4670.0,1095.0,186.0,1.0,309.15
Mexican black howler monkey,Mammalia,Primates,7000.0,,,,,187.0,1.0,
Bolivian red howler monkey,Mammalia,Primates,6611.0,,,,1673.0,190.0,,
Red howler monkey,Mammalia,Primates,6543.2,25.0,,,1475.0,190.0,1.0,
White-bellied spider monkey,Mammalia,Primates,7535.0,37.0,,,1461.0,184.0,1.0,
Chamek spider monkey,Mammalia,Primates,6000.0,42.8,,,1591.0,204.0,,
Brown-headed spider monkey,Mammalia,Primates,7000.0,46.0,,,1515.0,227.0,1.0,
Central American spider monkey,Mammalia,Primates,7267.5,47.1,,,1825.0,232.0,1.0,
White-whiskered spider monkey,Mammalia,Primates,6000.0,44.0,,,1461.0,141.0,,
Black spider monkey,Mammalia,Primates,7887.5,46.0,,,1516.0,229.0,1.0,
"Southern muriqui, or Woolly spider monkey, or Muriqui",Mammalia,Primates,11170.0,40.0,,,2738.0,232.0,1.0,
Humboldt's woolly monkey,Mammalia,Primates,7650.0,32.0,,,2555.0,223.0,1.0,
Goeldi's monkey,Mammalia,Primates,555.0,22.2,,,365.0,153.0,1.0,309.15
Geoffroy's marmoset,Mammalia,Primates,342.0,17.6,,,477.0,144.0,,
White-tufted-ear marmoset,Mammalia,Primates,255.2,22.8,0.848,190.0,477.0,144.0,2.0,309.15
Wied's black-tufted-ear marmoset,Mammalia,Primates,342.0,20.0,,,477.0,144.0,,
Black-pencilled marmoset,Mammalia,Primates,307.0,15.4,,,477.0,144.0,2.0,
Pygmy marmoset,Mammalia,Primates,124.0,18.6,0.599,110.7,684.0,125.0,2.0,308.35
Saddlebacked tamarin,Mammalia,Primates,456.5,24.9,,,546.0,147.0,1.8,
Black-mantled tamarin,Mammalia,Primates,519.2,20.2,,,850.0,140.0,1.8,
Golden-headed lion tamarin,Mammalia,Primates,535.0,21.3,,,654.0,132.0,2.0,
Golden-rumped lion tamarin,Mammalia,Primates,570.0,17.9,,,654.0,132.0,,
Golden lion tamarin,Mammalia,Primates,654.5,31.6,,,547.0,128.0,2.0,
Silvery marmoset,Mammalia,Primates,343.2,16.5,,,304.0,144.0,2.0,
Tassel-eared marmoset,Mammalia,Primates,355.8,15.0,,,304.0,144.0,2.0,
Brazilian bare-faced tamarin,Mammalia,Primates,495.8,19.0,,,,160.0,1.63,
Geoffroy's tamarin,Mammalia,Primates,499.3,20.5,1.305,225.0,548.0,142.0,2.0,
Emperor tamarin,Mammalia,Primates,518.5,23.7,,,546.0,145.0,2.0,
Red-chested mustached tamarin,Mammalia,Primates,501.3,20.5,,,,147.0,1.9,
Silvery-brown bare-face tamarin,Mammalia,Primates,490.0,15.2,,,,142.0,2.0,
Midas tamarin,Mammalia,Primates,553.8,21.0,,,608.0,127.0,2.0,
Black-chested mustached tamarin,Mammalia,Primates,543.5,20.0,,,486.0,145.0,2.0,
Cotton-top tamarin,Mammalia,Primates,445.5,26.2,,,548.0,178.0,1.9,
White-fronted capuchin,Mammalia,Primates,2467.5,40.4,,,1310.0,158.0,1.0,
White-faced capuchin,Mammalia,Primates,2655.0,54.0,,,1505.0,162.0,1.0,
Weeping capuchin,Mammalia,Primates,2552.5,47.0,,,2190.0,162.0,1.0,
Bolivian squirrel monkey,Mammalia,Primates,615.0,30.3,,,1091.0,158.0,1.0,
Central American squirrel monkey,Mammalia,Primates,788.5,,,,,161.0,1.0,
South American squirrel monkey,Mammalia,Primates,925.0,30.2,4.429,836.7,1003.0,161.0,1.0,311.15
Brown capuchin,Mammalia,Primates,2642.5,46.0,,,1703.0,158.0,1.5,
Allen's swamp monkey,Mammalia,Primates,4702.5,27.0,,,,,1.0,
L'hoest's monkey,Mammalia,Primates,4700.0,24.1,,,,,1.0,
Preuss's monkey,Mammalia,Primates,5250.0,26.0,,,,,1.0,
Sun-tailed monkey,Mammalia,Primates,5405.0,,,,1734.0,,1.0,
Agile mangabey,Mammalia,Primates,8000.0,31.0,,,1536.0,170.0,,
Tana River mangabey,Mammalia,Primates,9467.5,,,,2267.0,175.0,1.0,
Red-capped mangabey,Mammalia,Primates,9492.5,46.0,,,973.0,167.0,1.0,
Black-cheeked white-nosed monkey,Mammalia,Primates,3705.0,31.2,,,1642.0,147.0,1.0,
Campbell's monkey,Mammalia,Primates,3600.0,30.0,,,1095.0,180.0,1.0,
Moustached monkey,Mammalia,Primates,3585.0,36.0,,,1460.0,172.0,1.0,
Diana monkey,Mammalia,Primates,4550.0,35.1,,,1962.0,,1.0,
Red-bellied monkey,Mammalia,Primates,3250.0,24.0,,,1572.0,172.0,1.0,
Owl-faced monkey,Mammalia,Primates,4425.0,28.6,,,,,,
Blue monkey,Mammalia,Primates,9000.0,37.8,19.276,8648.7,1673.0,132.0,1.0,310.65
Mona monkey,Mammalia,Primates,4500.0,30.0,,,,,1.0,
De Brazza's monkey,Mammalia,Primates,5945.0,30.8,,,1611.0,177.0,1.0,
White-nosed guenon,Mammalia,Primates,5465.0,31.0,,,1460.0,172.0,1.0,
Lesser white-nosed monkey,Mammalia,Primates,3650.0,29.0,,,,,1.0,
Crowned guenon,Mammalia,Primates,3580.0,27.0,,,1460.0,165.0,1.0,
Wolf's monkey,Mammalia,Primates,3390.0,24.0,,,1685.0,170.0,1.0,
"Grivet, or Vervet",Mammalia,Primates,5620.0,32.0,,,1034.0,162.0,1.0,309.95
Angolan colobus,Mammalia,Primates,8625.0,35.3,,,1642.0,191.0,1.0,
Guereza,Mammalia,Primates,9950.0,35.0,17.037,10623.6,1461.0,175.0,1.0,310.15
King colobus,Mammalia,Primates,9525.0,33.9,,,1642.0,185.0,1.0,
Patas monkey,Mammalia,Primates,7750.0,30.0,5.958,3000.0,956.0,167.0,1.0,312.45
Gray-cheeked mangabey,Mammalia,Primates,9317.5,36.0,,,1460.0,181.0,1.0,
Stump-tailed macaque,Mammalia,Primates,9275.0,29.2,,,1186.0,177.0,1.0,
Assam macaque,Mammalia,Primates,9100.0,31.4,,,,,,
Long-tailed macaque,Mammalia,Primates,6362.5,39.0,,,1238.0,165.0,1.0,310.75
Japanese macaque,Mammalia,Primates,8882.5,38.5,,,1483.0,174.0,1.5,
Moor macaque,Mammalia,Primates,5575.0,33.0,,,1825.0,165.0,1.0,
Rhesus monkey,Mammalia,Primates,8235.0,40.0,,,1231.0,165.0,1.0,310.45
"Southern pig-tailed macaque, or Pigtail macaque",Mammalia,Primates,7912.5,37.6,,,1125.0,172.0,1.0,
Celebes crested macaque,Mammalia,Primates,7965.0,34.0,,,1490.0,176.0,1.0,
Booted macaque,Mammalia,Primates,3950.0,29.0,,,1490.0,172.0,,
Bonnet macaque,Mammalia,Primates,6755.0,30.0,,,1295.0,161.0,1.0,
Liontail macaque,Mammalia,Primates,7875.0,40.0,,,1429.0,176.0,1.0,
Toque macaque,Mammalia,Primates,4370.0,29.3,,,1460.0,152.0,1.0,
Barbary macaque,Mammalia,Primates,10875.0,30.0,,,1399.0,164.0,1.5,
Tibetan macaque,Mammalia,Primates,10300.0,27.0,,,1454.0,170.0,1.0,
Tonkean macaque,Mammalia,Primates,11950.0,28.4,,,,173.0,,
Drill,Mammalia,Primates,18250.0,39.0,,,1277.0,179.0,1.0,
Mandrill,Mammalia,Primates,23000.0,40.0,,,1186.0,173.0,1.0,
"Southern talapoin monkey, or Talapoin",Mammalia,Primates,1384.5,27.7,,,1395.0,169.0,1.0,
Proboscis monkey,Mammalia,Primates,14617.5,25.1,,,1460.0,166.0,1.25,
Hamadryas baboon,Mammalia,Primates,18000.0,37.5,21.095,12670.8,1514.0,171.0,1.0,311.15
Grizzled leaf monkey,Mammalia,Primates,6695.0,,,,,,1.0,
"Black-crested sumatran langur, or Mitred leaf monkey",Mammalia,Primates,6540.0,20.0,,,,,1.0,
North Sumatran leaf monkey,Mammalia,Primates,6690.0,,,,,,,
"Red-shanked douc langur, or Douc langur",Mammalia,Primates,9720.0,26.0,,,1460.0,171.0,1.0,
Black snub-nosed monkey,Mammalia,Primates,9960.0,,,,755.0,170.0,,
Golden snub-nosed monkey,Mammalia,Primates,14750.0,29.5,,,,199.0,1.0,
Hanuman langur,Mammalia,Primates,13516.5,29.0,,,1162.0,192.0,1.0,
Hooded leaf monkey,Mammalia,Primates,12000.0,34.0,,,,,1.0,
Purple-faced leaf monkey,Mammalia,Primates,7081.8,26.1,,,1278.0,211.0,1.0,
Gelada baboon,Mammalia,Primates,16200.0,36.0,,,1391.0,168.0,1.0,
Javan langur,Mammalia,Primates,9720.0,31.1,,,,,,
Silvered leaf monkey,Mammalia,Primates,6185.0,28.3,,,1461.0,150.0,1.0,
Francois's leaf monkey,Mammalia,Primates,7325.0,26.3,,,1460.0,,,
Golden leaf monkey,Mammalia,Primates,8100.0,,,,,,1.0,
Dusky leaf monkey,Mammalia,Primates,7080.0,33.9,,,1461.0,145.0,1.0,
Phayre's leaf monkey,Mammalia,Primates,8400.0,28.3,,,1461.0,167.0,1.0,
Capped leaf monkey,Mammalia,Primates,11450.0,25.2,,,,,,
Greater dwarf lemur,Mammalia,Primates,395.0,13.4,,,365.0,65.0,2.2,
Fat-tailed dwarf lemur,Mammalia,Primates,380.0,29.0,1.088,300.0,365.0,61.0,2.2,311.15
Gray mouse lemur,Mammalia,Primates,64.8,18.2,,,243.0,61.0,2.0,
Brown mouse lemur,Mammalia,Primates,55.5,,,,299.0,61.0,2.5,
Giant mouse lemur,Mammalia,Primates,311.2,17.4,,,312.0,89.0,1.8,
"Masoala fork-marked lemur, or Fork-marked lemur",Mammalia,Primates,400.0,25.0,,,,174.0,1.0,
Aye-aye,Mammalia,Primates,2277.5,32.3,,,882.0,165.0,1.0,
Western needle-clawed galago,Mammalia,Primates,315.0,,1.205,261.5,,122.0,1.0,
South African galago,Mammalia,Primates,169.2,16.6,0.285,170.0,146.0,124.0,1.4,
Senegal galago,Mammalia,Primates,192.2,17.1,0.764,171.5,240.0,126.0,1.5,311.05
Demidoff's galago,Mammalia,Primates,60.0,13.4,0.372,62.4,256.0,111.0,1.1,
"Brown greater galago, or Greater galago",Mammalia,Primates,1094.5,22.7,2.595,993.5,495.0,130.0,1.5,309.75
Small-eared galago,Mammalia,Primates,1300.0,20.0,3.927,1314.0,600.0,132.0,1.0,309.15
"Zanzibar bushbaby, or Zanzibar galago",Mammalia,Primates,146.8,,,,265.0,120.0,1.3,
Allen's squirrel galago,Mammalia,Primates,273.0,,,,243.0,133.0,1.3,
Gorilla,Mammalia,Primates,139842.0,60.1,,,2829.0,256.0,1.0,308.65
Human,Mammalia,Primates,62035.0,122.5,82.78,70000.0,4745.0,280.0,1.0,310.15
"Pygmy chimpanzee, or Bonobo",Mammalia,Primates,39925.0,55.0,,,3194.0,232.0,1.0,
Chimpanzee,Mammalia,Primates,44983.5,68.0,,,3376.0,229.0,1.0,308.85
Orangutan,Mammalia,Primates,64475.0,59.0,,,2555.0,249.0,1.0,
"Western hoolock gibbon, or Hoolock gibbon",Mammalia,Primates,6875.0,41.0,,,2556.0,,1.0,
Agile gibbon,Mammalia,Primates,5925.0,49.0,,,2849.0,216.0,1.0,
Kloss's gibbon,Mammalia,Primates,5900.0,37.0,,,,213.0,1.0,
White-handed gibbon,Mammalia,Primates,6810.0,56.0,,,2555.0,217.0,1.0,
Silvery gibbon,Mammalia,Primates,6207.5,45.0,,,2849.0,243.0,1.0,
Borneo gibbon,Mammalia,Primates,5765.0,60.0,,,2849.0,207.0,1.0,
Pileated gibbon,Mammalia,Primates,5735.0,38.0,,,2555.0,228.0,1.0,
Crested gibbon,Mammalia,Primates,6852.5,46.1,,,3080.0,207.0,1.0,
"Northern white-cheeked gibbon, or White-cheeked gibbon",Mammalia,Primates,6000.0,44.1,,,3069.0,208.0,,
Siamang,Mammalia,Primates,10900.0,43.0,,,2190.0,231.0,1.0,
Diademed sifaka,Mammalia,Primates,5550.0,21.0,,,1186.0,157.0,1.0,
Golden-crowned sifaka,Mammalia,Primates,3545.0,20.0,,,1642.0,,,
Verreaux's sifaka,Mammalia,Primates,5000.0,31.0,3.738,3350.0,912.0,148.0,1.0,309.15
Crowned lemur,Mammalia,Primates,1645.0,27.0,,,608.0,126.0,1.24,
Brown lemur,Mammalia,Primates,2485.0,35.5,4.239,2374.1,509.0,118.0,1.1,309.65
Black lemur,Mammalia,Primates,2467.0,37.5,,,540.0,120.0,1.4,
Mongoose lemur,Mammalia,Primates,1555.0,36.2,,,650.0,120.0,1.0,
Red-bellied lemur,Mammalia,Primates,2191.5,31.7,,,646.0,120.0,1.0,
Golden bamboo lemur,Mammalia,Primates,1455.0,,,,,142.0,1.0,
"Gray bamboo lemur, or Bamboo lemur",Mammalia,Primates,1012.5,23.3,,,880.0,145.0,1.1,
Ring-tailed lemur,Mammalia,Primates,2555.0,37.3,,,595.0,135.0,1.1,
Greater bamboo lemur,Mammalia,Primates,1737.5,17.6,,,,142.0,1.0,
Red ruffed lemur,Mammalia,Primates,3601.3,37.5,,,609.0,98.0,2.2,
"Black-and-white ruffed lemur, or Ruffed lemur",Mammalia,Primates,3482.3,40.0,,,605.0,98.0,1.9,
